review_id,user_id,product_id,product,text,rating,date,sentiment,sentiment_label,kmeans_cluster,dbscan_cluster,x,y
R0001,U008,P011,Планшет TabLine 10,"Цена завышена, ожидала большего, функциональность неудобная. Особенно заметно: царапина, шум.",2,2026-01-04,0,негативный,2,0,0.04848958559638072,0.0029878964127308255
R0002,U007,P012,Роутер HomeNet AX,"Плохой опыт, после недели использования [NAME] неисправность. Особенно заметно: шум, возврат.",2,2026-03-28,0,негативный,2,1,0.025476819204392244,-0.04085159851257469
R0003,U003,P007,Электрочайник GlassHeat,"Хорошая [NAME], приятный дизайн, цена полностью оправдана. Особенно заметно: быстро, выгодно.",5,2026-01-04,1,позитивный,2,2,-0.0013953952820137143,0.0015073373634403957
R0004,U042,P004,Умные часы FitTime Pro,"Нормально за свою цену, есть плюсы и минусы. Особенно заметно: стильно, но возврат.",3,2026-03-31,0,негативный,1,3,0.08101200686616013,-0.04594927707887453
R0005,U011,P001,Смартфон Aurora X1,"Товар понравился, всё подключилось без проблем, инструкция [NAME]. Особенно заметно: надежно, удобно.",4,2026-03-31,1,позитивный,3,4,-0.5439130040363147,-0.2826545714743232
R0006,U007,P006,Кофемашина AromaBarista,"За свои деньги просто супер, функциональность отличная, нареканий нет. Особенно заметно: качественно, выгодно.",4,2026-01-12,1,позитивный,2,5,0.07309012022746099,0.04695538786044069
R0007,U003,P005,Пылесос CleanBot Mini,"Обычный товар, в целом работает, но без сильных преимуществ. Особенно заметно: аккуратно, но шум. Меня зовут [NAME], телефон [PHONE].",3,2026-04-04,0,негативный,1,6,-0.004368987253587283,-0.04781277792679912
R0008,U037,P006,Кофемашина AromaBarista,"Обычный товар, в целом работает, но без сильных преимуществ. Особенно заметно: приятно, но возврат.",3,2026-01-25,0,негативный,1,6,0.015395343591850925,-0.05879746197290574
R0009,U015,P002,Ноутбук VectorBook 14,"Товар понравился, всё подключилось без проблем, инструкция [NAME]. Особенно заметно: стильно, качественно.",5,2026-04-21,1,позитивный,3,4,-0.5573294132558353,-0.29103609121132457
R0010,U011,P006,Кофемашина AromaBarista,"Товар понравился, всё подключилось без проблем, инструкция [NAME]. Особенно заметно: удобно, выгодно.",4,2026-02-17,1,позитивный,3,4,-0.5705854641456463,-0.30239855089716655
R0011,U011,P011,Планшет TabLine 10,"Нормально за свою цену, есть плюсы и минусы. Особенно заметно: стильно, но медленно.",3,2026-03-10,0,негативный,1,3,0.08171877968094628,-0.04784913792737803
R0012,U041,P005,Пылесос CleanBot Mini,"Покупка средняя, ожидания [NAME] оправдались. Особенно заметно: быстро, но царапина.",3,2026-03-30,0,негативный,1,7,0.21257032983798857,-0.19165676654964767
R0013,U021,P001,Смартфон Aurora X1,"Хорошая [NAME], приятный дизайн, цена полностью оправдана. Особенно заметно: качественно, удобно.",5,2026-02-21,1,позитивный,2,2,-0.01245140191938726,-0.027333481865654506
R0014,U032,P011,Планшет TabLine 10,"Покупкой недовольна, заряд держит мало, подключение часто пропадает. Особенно заметно: задержка, неудобно.",2,2026-02-20,0,негативный,2,8,0.053184812348407474,0.01694364382738156
R0015,U016,P003,Беспроводные наушники SonicPods,"Товар понравился, всё подключилось без проблем, инструкция [NAME]. Особенно заметно: аккуратно, выгодно.",4,2026-04-06,1,позитивный,3,4,-0.5643415671217032,-0.25509258507077576
R0016,U024,P007,Электрочайник GlassHeat,"Не рекомендую, устройство шумит, иногда зависает и плохо работает. Особенно заметно: неудобно, брак.",1,2026-01-29,0,негативный,2,9,0.09344380852424758,-0.01516593502602421
R0017,U008,P001,Смартфон Aurora X1,"Покупка удачная, устройство тихое, красивое и надежное. Особенно заметно: удобно, приятно.",4,2026-01-20,1,позитивный,2,10,0.560726233738308,-0.1430093408070517
R0018,U039,P007,Электрочайник GlassHeat,"Обычный товар, в целом работает, но без сильных преимуществ. Особенно заметно: удобно, но возврат.",3,2026-03-01,0,негативный,1,6,0.01692125983787371,-0.06578309690060789
R0019,U022,P011,Планшет TabLine 10,"Очень удобная [NAME], пользуюсь каждый день, рекомендую к покупке. Особенно заметно: стильно, быстро.",4,2026-01-15,1,позитивный,2,11,-0.037996385370490396,0.06406377827616061
R0020,U017,P012,Роутер HomeNet AX,"Плохой опыт, после недели использования [NAME] неисправность. Особенно заметно: шум, медленно.",2,2026-03-06,0,негативный,2,1,0.025287215348044206,-0.04397093751874945
R0021,U020,P011,Планшет TabLine 10,"Нормально за свою цену, есть плюсы и минусы. Особенно заметно: надежно, но поломка.",3,2026-04-18,0,негативный,1,3,0.07438512264562767,-0.03071054088102649
R0022,U035,P003,Беспроводные наушники SonicPods,"Товар разочаровал, качество слабое, появились проблемы уже в первый день. Особенно заметно: поломка, царапина.",2,2026-04-10,0,негативный,2,12,0.019607790647995133,0.02430136244821361
R0023,U008,P001,Смартфон Aurora X1,"Пришёл брак, пришлось писать в поддержку и оформлять возврат. Особенно заметно: царапина, брак.",2,2026-02-16,0,негативный,2,13,0.04872519698710439,0.002339921030089576
R0024,U037,P004,Умные часы FitTime Pro,"Сервис магазина порадовал, товар новый, без дефектов и царапин. Особенно заметно: удобно, аккуратно.",5,2026-01-11,1,позитивный,0,14,-0.1935350367605424,0.10640196840197116
R0025,U009,P009,Клавиатура KeyMaster RGB,"Нормально за свою цену, есть плюсы и минусы. Особенно заметно: выгодно, но медленно.",3,2026-01-17,0,негативный,1,3,0.08132637673306081,-0.0371628263896908
R0026,U035,P004,Умные часы FitTime Pro,"Нормально за свою цену, есть плюсы и минусы. Особенно заметно: выгодно, но медленно.",3,2026-04-07,0,негативный,1,3,0.08132637673306081,-0.0371628263896908
R0027,U042,P011,Планшет TabLine 10,"Работает лучше предыдущей модели, батарея [NAME] долго, впечатления [NAME]. Особенно заметно: стильно, быстро.",4,2026-02-17,1,позитивный,3,15,-0.29409032626950093,-0.31320895497001455
R0028,U015,P004,Умные часы FitTime Pro,"Очень довольна заказом, товар соответствует описанию и фото. Особенно заметно: приятно, выгодно.",4,2026-01-09,1,позитивный,3,16,-0.11912530583230586,0.6928695226965156
R0029,U001,P004,Умные часы FitTime Pro,"Обычный товар, в целом работает, но без сильных преимуществ. Особенно заметно: приятно, но шум.",3,2026-01-10,0,негативный,1,6,0.020707526178823873,-0.06662617394942945
R0030,U022,P001,Смартфон Aurora X1,"Товар понравился, всё подключилось без проблем, инструкция [NAME]. Особенно заметно: стильно, удобно.",4,2026-01-10,1,позитивный,3,4,-0.5603899522195682,-0.3028164196443421
R0031,U009,P009,Клавиатура KeyMaster RGB,"Не подошло, работает нестабильно, интерфейс неудобный и медленный. Особенно заметно: неудобно, шум.",1,2026-04-03,0,негативный,2,17,0.034177747181102704,-0.005965145754568172
R0032,U027,P008,Игровая мышь CyberClick,"Покупка удачная, устройство тихое, красивое и надежное. Особенно заметно: качественно, приятно.",5,2026-01-25,1,позитивный,2,10,0.5529832960274148,-0.12280844555383921
R0033,U030,P007,Электрочайник GlassHeat,"Доставка задержалась, коробка была мятая, впечатление испорчено. Особенно заметно: брак, царапина.",2,2026-04-21,0,негативный,2,18,0.05547245898346098,0.010562706471828075
R0034,U022,P012,Роутер HomeNet AX,"Цена завышена, ожидала большего, функциональность неудобная. Особенно заметно: царапина, шум.",2,2026-04-13,0,негативный,2,0,0.04848958559638089,0.002987896412730674
R0035,U029,P009,Клавиатура KeyMaster RGB,"Товар понравился, всё подключилось без проблем, инструкция [NAME]. Особенно заметно: стильно, удобно.",4,2026-01-18,1,позитивный,3,4,-0.5603899522195682,-0.3028164196443421
R0036,U029,P002,Ноутбук VectorBook 14,"Плохой опыт, после недели использования [NAME] неисправность. Особенно заметно: шум, брак.",2,2026-04-14,0,негативный,2,1,0.024239574053079454,-0.04176323996463411
R0037,U035,P011,Планшет TabLine 10,"Качество выше ожиданий, упаковка аккуратная, доставка пришла вовремя. Особенно заметно: приятно, удобно.",5,2026-04-18,1,позитивный,2,19,0.059274374757101254,0.04146974350886496
R0038,U032,P007,Электрочайник GlassHeat,"Покупка удачная, устройство тихое, красивое и надежное. Особенно заметно: быстро, удобно.",4,2026-03-03,1,позитивный,2,10,0.5397592641191826,-0.1149818925409973
R0039,U001,P007,Электрочайник GlassHeat,"Сервис магазина порадовал, товар новый, без дефектов и царапин. Особенно заметно: выгодно, приятно.",4,2026-02-19,1,позитивный,0,14,-0.19988346043467098,0.10700506949987573
R0040,U036,P012,Роутер HomeNet AX,"Нормально за свою цену, есть плюсы и минусы. Особенно заметно: приятно, но возврат.",3,2026-03-26,0,негативный,1,3,0.09693623890140388,-0.03551573368287524
R0041,U004,P004,Умные часы FitTime Pro,"Обычный товар, в целом работает, но без сильных преимуществ. Особенно заметно: качественно, но брак. Меня зовут [NAME], телефон [PHONE].",3,2026-03-16,0,негативный,1,6,-0.004803987896429668,-0.05016796345632854
R0042,U011,P009,Клавиатура KeyMaster RGB,"Доставка задержалась, коробка была мятая, впечатление испорчено. Особенно заметно: задержка, брак.",1,2026-01-08,0,негативный,2,18,0.05342247632666151,0.011074309531525177
R0043,U005,P010,Монитор VisionView 27,"Описание на сайте красивое, но в реальности товар заметно хуже. Особенно заметно: шум, возврат.",2,2026-03-28,0,негативный,2,20,0.08094005383576115,-0.007341883693798659
R0044,U038,P004,Умные часы FitTime Pro,"Качество выше ожиданий, упаковка аккуратная, доставка пришла вовремя. Особенно заметно: аккуратно, качественно.",5,2026-03-18,1,позитивный,2,19,0.047004626992815206,0.07425852357211335
R0045,U037,P010,Монитор VisionView 27,"Товар понравился, всё подключилось без проблем, инструкция [NAME]. Особенно заметно: приятно, качественно.",5,2026-03-08,1,позитивный,3,4,-0.530395841533407,-0.2775636834342524
R0046,U021,P012,Роутер HomeNet AX,"Очень удобная [NAME], пользуюсь каждый день, рекомендую к покупке. Особенно заметно: выгодно, приятно.",5,2026-01-31,1,позитивный,2,11,-0.03769323650227261,0.06675963940211575
R0047,U005,P006,Кофемашина AromaBarista,"Очень довольна заказом, товар соответствует описанию и фото. Особенно заметно: удобно, быстро.",4,2026-01-02,1,позитивный,3,16,-0.11042171045421144,0.7084633837482273
R0048,U014,P009,Клавиатура KeyMaster RGB,"За свои деньги просто супер, функциональность отличная, нареканий нет. Особенно заметно: удобно, стильно.",5,2026-03-06,1,позитивный,2,5,0.08683969563996286,0.028128106354544265
R0049,U019,P006,Кофемашина AromaBarista,"Работает лучше предыдущей модели, батарея [NAME] долго, впечатления [NAME]. Особенно заметно: выгодно, стильно.",4,2026-01-21,1,позитивный,3,15,-0.2971068358124511,-0.3240663161326975
R0050,U034,P011,Планшет TabLine 10,"Покупка средняя, ожидания [NAME] оправдались. Особенно заметно: удобно, но задержка.",3,2026-01-02,0,негативный,1,7,0.21126198007518082,-0.22517921222445042
R0051,U008,P005,Пылесос CleanBot Mini,"Работает лучше предыдущей модели, батарея [NAME] долго, впечатления [NAME]. Особенно заметно: надежно, стильно.",5,2026-04-24,1,позитивный,3,15,-0.2946055237526692,-0.3152085305288564
R0052,U039,P005,Пылесос CleanBot Mini,"Цена завышена, ожидала большего, функциональность неудобная. Особенно заметно: возврат, неудобно.",2,2026-01-27,0,негативный,2,0,0.04379203846599391,0.007015031782334556
R0053,U017,P008,Игровая мышь CyberClick,"Товар разочаровал, качество слабое, появились проблемы уже в первый день. Особенно заметно: шум, поломка.",1,2026-04-26,0,негативный,2,12,0.020789366695144553,0.022455194078051903
R0054,U018,P007,Электрочайник GlassHeat,"Очень удобная [NAME], пользуюсь каждый день, рекомендую к покупке. Особенно заметно: выгодно, удобно.",5,2026-01-06,1,позитивный,2,11,-0.041409757150631964,0.05314709182451358
R0055,U029,P012,Роутер HomeNet AX,"Обычный товар, в целом работает, но без сильных преимуществ. Особенно заметно: удобно, но шум.",3,2026-03-12,0,негативный,1,6,0.022234639028366244,-0.07361609518453326
R0056,U010,P012,Роутер HomeNet AX,"За свои деньги просто супер, функциональность отличная, нареканий нет. Особенно заметно: надежно, приятно.",5,2026-03-11,1,позитивный,2,5,0.07612101203352577,0.04439309337340275
R0057,U003,P003,Беспроводные наушники SonicPods,"Отличный товар, работает быстро и стабильно, покупкой довольна. Особенно заметно: качественно, удобно.",5,2026-02-09,1,позитивный,3,21,-0.03634425989171529,0.13249964416996166
R0058,U016,P011,Планшет TabLine 10,"Работает лучше предыдущей модели, батарея [NAME] долго, впечатления [NAME]. Особенно заметно: аккуратно, выгодно.",5,2026-03-27,1,позитивный,3,15,-0.30973327544369483,-0.29119521930553977
R0059,U010,P012,Роутер HomeNet AX,"Не рекомендую, устройство шумит, иногда зависает и плохо работает. Особенно заметно: медленно, брак.",2,2026-01-31,0,негативный,2,9,0.0909903267487119,-0.01657868775040008
R0060,U022,P003,Беспроводные наушники SonicPods,"Цена завышена, ожидала большего, функциональность неудобная. Особенно заметно: возврат, шум.",2,2026-04-11,0,негативный,2,0,0.0462500182612777,0.0034954178164702415
R0061,U007,P012,Роутер HomeNet AX,"Покупкой недовольна, заряд держит мало, подключение часто пропадает. Особенно заметно: царапина, шум.",2,2026-02-18,0,негативный,2,8,0.05874477985662793,0.013121418344337285
R0062,U023,P008,Игровая мышь CyberClick,"Цена завышена, ожидала большего, функциональность неудобная. Особенно заметно: царапина, брак. Свяжитесь со мной по номеру [PHONE].",2,2026-02-09,0,негативный,2,-1,0.03914337811553475,0.008682084000261358
R0063,U018,P006,Кофемашина AromaBarista,"Товар понравился, всё подключилось без проблем, инструкция [NAME]. Особенно заметно: качественно, стильно.",5,2026-04-21,1,позитивный,3,4,-0.5419728518479698,-0.28453698065751326
R0064,U026,P009,Клавиатура KeyMaster RGB,"Плохой опыт, после недели использования [NAME] неисправность. Особенно заметно: поломка, брак.",1,2026-03-28,0,негативный,2,1,0.020959711380316205,-0.03530999537156992
R0065,U017,P002,Ноутбук VectorBook 14,"Покупка средняя, ожидания [NAME] оправдались. Особенно заметно: быстро, но шум.",3,2026-01-23,0,негативный,1,7,0.21902432638168795,-0.19946976620900372
R0066,U028,P010,Монитор VisionView 27,"Покупка средняя, ожидания [NAME] оправдались. Особенно заметно: аккуратно, но шум.",3,2026-02-14,0,негативный,1,7,0.19860038053386442,-0.20241925327588162
R0067,U037,P007,Электрочайник GlassHeat,"Покупка удачная, устройство тихое, красивое и надежное. Особенно заметно: быстро, выгодно.",4,2026-01-25,1,позитивный,2,10,0.5376135759207266,-0.10517489986106263
R0068,U044,P009,Клавиатура KeyMaster RGB,"Цена завышена, ожидала большего, функциональность неудобная. Особенно заметно: поломка, царапина.",1,2026-04-03,0,негативный,2,0,0.042705188959705084,0.0071102071528273665
R0069,U043,P002,Ноутбук VectorBook 14,"Обычный товар, в целом работает, но без сильных преимуществ. Особенно заметно: выгодно, но возврат.",3,2026-02-12,0,негативный,1,6,-0.0001498659141630217,-0.0583035523089921
R0070,U027,P011,Планшет TabLine 10,"Товар понравился, всё подключилось без проблем, инструкция [NAME]. Особенно заметно: надежно, удобно.",4,2026-02-11,1,позитивный,3,4,-0.5439130040363147,-0.2826545714743232
R0071,U043,P007,Электрочайник GlassHeat,"Не рекомендую, устройство шумит, иногда зависает и плохо работает. Особенно заметно: возврат, царапина.",2,2026-02-18,0,негативный,2,9,0.09322523730961356,-0.01726293182754793
R0072,U001,P009,Клавиатура KeyMaster RGB,"Покупка удачная, устройство тихое, красивое и надежное. Особенно заметно: качественно, приятно.",4,2026-02-08,1,позитивный,2,10,0.5529832960274148,-0.12280844555383921
R0073,U029,P008,Игровая мышь CyberClick,"Сервис магазина порадовал, товар новый, без дефектов и царапин. Особенно заметно: надежно, качественно.",5,2026-03-28,1,позитивный,0,14,-0.20545119876244555,0.0994685267263412
R0074,U019,P002,Ноутбук VectorBook 14,"Покупка средняя, ожидания [NAME] оправдались. Особенно заметно: удобно, но царапина.",3,2026-03-07,0,негативный,1,7,0.21964330821823153,-0.23512349581119435
R0075,U020,P011,Планшет TabLine 10,"Не рекомендую, устройство шумит, иногда зависает и плохо работает. Особенно заметно: брак, неудобно.",2,2026-01-29,0,негативный,2,9,0.09402528353844464,-0.015520439568055414
R0076,U031,P004,Умные часы FitTime Pro,"Доставка задержалась, коробка была мятая, впечатление испорчено. Особенно заметно: неудобно, царапина.",2,2026-03-20,0,негативный,2,18,0.0547514373790809,0.010739029559175033
R0077,U037,P011,Планшет TabLine 10,"Можно пользоваться, но качество не идеальное. Особенно заметно: стильно, но медленно.",3,2026-01-25,0,негативный,1,22,0.07642999804775262,-0.05294098021435948
R0078,U010,P004,Умные часы FitTime Pro,"Обычный товар, в целом работает, но без сильных преимуществ. Особенно заметно: аккуратно, но царапина.",3,2026-03-25,0,негативный,1,6,-9.633302951113072e-05,-0.0390635471517182
R0079,U045,P003,Беспроводные наушники SonicPods,"Работает лучше предыдущей модели, батарея [NAME] долго, впечатления [NAME]. Особенно заметно: приятно, аккуратно.",4,2026-03-08,1,позитивный,3,15,-0.27971378800044394,-0.3036303994536135
R0080,U030,P002,Ноутбук VectorBook 14,"Плохой опыт, после недели использования [NAME] неисправность. Особенно заметно: поломка, медленно.",2,2026-01-18,0,негативный,2,1,0.02253375478078838,-0.03755022118365776
R0081,U040,P008,Игровая мышь CyberClick,"Можно пользоваться, но качество не идеальное. Особенно заметно: стильно, но задержка.",3,2026-04-15,0,негативный,1,22,0.07340890805680529,-0.04985843505940061
R0082,U031,P012,Роутер HomeNet AX,"Хорошая [NAME], приятный дизайн, цена полностью оправдана. Особенно заметно: выгодно, аккуратно.",5,2026-02-27,1,позитивный,2,2,-0.018250990710498908,-0.020202722017294488
R0083,U032,P009,Клавиатура KeyMaster RGB,"Сервис магазина порадовал, товар новый, без дефектов и царапин. Особенно заметно: удобно, качественно.",5,2026-03-22,1,позитивный,0,14,-0.187956142809604,0.09904756940536326
R0084,U016,P005,Пылесос CleanBot Mini,"Работает лучше предыдущей модели, батарея [NAME] долго, впечатления [NAME]. Особенно заметно: удобно, стильно.",4,2026-02-04,1,позитивный,3,15,-0.2791477453045162,-0.3299420239983636
R0085,U015,P003,Беспроводные наушники SonicPods,"Хорошая [NAME], приятный дизайн, цена полностью оправдана. Особенно заметно: удобно, приятно.",4,2026-02-19,1,позитивный,2,2,0.010507257810724467,-0.02866063670593239
R0086,U022,P007,Электрочайник GlassHeat,"Обычный товар, в целом работает, но без сильных преимуществ. Особенно заметно: приятно, но медленно.",3,2026-03-11,0,негативный,1,6,0.016496902384714896,-0.06060978742041351
R0087,U038,P007,Электрочайник GlassHeat,"Очень довольна заказом, товар соответствует описанию и фото. Особенно заметно: аккуратно, приятно.",5,2026-03-31,1,позитивный,3,16,-0.12478612621169538,0.7239325789854264
R0088,U023,P001,Смартфон Aurora X1,"Можно пользоваться, но качество не идеальное. Особенно заметно: приятно, но неудобно.",3,2026-02-08,0,негативный,1,22,0.08843921391333864,-0.03739051324567952
R0089,U018,P004,Умные часы FitTime Pro,"Покупка удачная, устройство тихое, красивое и надежное. Особенно заметно: качественно, стильно. Меня зовут [NAME], телефон [PHONE].",4,2026-02-25,1,позитивный,2,10,0.3607303687478917,-0.11333635414560418
R0090,U040,P003,Беспроводные наушники SonicPods,"Покупка удачная, устройство тихое, красивое и надежное. Особенно заметно: быстро, стильно.",5,2026-03-10,1,позитивный,2,10,0.5378622615055315,-0.11451417159713546
R0091,U028,P011,Планшет TabLine 10,"Не рекомендую, устройство шумит, иногда зависает и плохо работает. Особенно заметно: брак, задержка.",2,2026-01-18,0,негативный,2,9,0.09101095424351992,-0.0155507595495262
R0092,U021,P007,Электрочайник GlassHeat,"Покупка средняя, ожидания [NAME] оправдались. Особенно заметно: аккуратно, но возврат.",3,2026-01-28,0,негативный,1,7,0.19187009732702992,-0.19259318330248829
R0093,U017,P007,Электрочайник GlassHeat,"Отличный товар, работает быстро и стабильно, покупкой довольна. Особенно заметно: быстро, надежно.",5,2026-04-17,1,позитивный,3,21,-0.02573018933487534,0.16533866230032596
R0094,U042,P004,Умные часы FitTime Pro,"Товар разочаровал, качество слабое, появились проблемы уже в первый день. Особенно заметно: брак, шум.",2,2026-01-09,0,негативный,2,12,0.021738949824544104,0.022808185427801057
R0095,U002,P004,Умные часы FitTime Pro,"Очень удобная [NAME], пользуюсь каждый день, рекомендую к покупке. Особенно заметно: стильно, качественно.",5,2026-03-21,1,позитивный,2,11,-0.05059562736051792,0.04963102319178961
R0096,U037,P002,Ноутбук VectorBook 14,"Товар понравился, всё подключилось без проблем, инструкция [NAME]. Особенно заметно: качественно, удобно.",4,2026-01-28,1,позитивный,3,4,-0.5527930415365593,-0.2833638872940024
R0097,U039,P010,Монитор VisionView 27,"Очень удобная [NAME], пользуюсь каждый день, рекомендую к покупке. Особенно заметно: выгодно, быстро.",4,2026-04-06,1,позитивный,2,11,-0.03827416274098412,0.07595967916504429
R0098,U002,P010,Монитор VisionView 27,"Покупка удачная, устройство тихое, красивое и надежное. Особенно заметно: аккуратно, качественно.",4,2026-02-09,1,позитивный,2,10,0.5242631520089888,-0.10604848897732796
R0099,U005,P004,Умные часы FitTime Pro,"Нормально за свою цену, есть плюсы и минусы. Особенно заметно: удобно, но возврат.",3,2026-03-17,0,негативный,1,3,0.09847622159942208,-0.042536791015982726
R0100,U039,P011,Планшет TabLine 10,"Очень довольна заказом, товар соответствует описанию и фото. Особенно заметно: быстро, надежно.",5,2026-04-14,1,позитивный,3,16,-0.1203705770318942,0.7364226190261429
R0101,U028,P009,Клавиатура KeyMaster RGB,"Работает лучше предыдущей модели, батарея [NAME] долго, впечатления [NAME]. Особенно заметно: качественно, быстро.",4,2026-03-26,1,позитивный,3,15,-0.27633102115801994,-0.29945105186539583
R0102,U032,P007,Электрочайник GlassHeat,"Покупка средняя, ожидания [NAME] оправдались. Особенно заметно: стильно, но задержка.",3,2026-01-14,0,негативный,1,7,0.1901533017949491,-0.22961904922006232
R0103,U012,P007,Электрочайник GlassHeat,"Покупка средняя, ожидания [NAME] оправдались. Особенно заметно: стильно, но неудобно.",3,2026-04-04,0,негативный,1,7,0.19043145545383988,-0.2294118738651321
R0104,U038,P007,Электрочайник GlassHeat,"Хорошая [NAME], приятный дизайн, цена полностью оправдана. Особенно заметно: удобно, надежно.",4,2026-02-04,1,позитивный,2,2,0.000917380113295384,-0.028718547499654468
R0105,U016,P008,Игровая мышь CyberClick,"Очень довольна заказом, товар соответствует описанию и фото. Особенно заметно: аккуратно, надежно.",4,2026-04-07,1,позитивный,3,16,-0.137077604356468,0.7194885595146082
R0106,U032,P001,Смартфон Aurora X1,"Сервис магазина порадовал, товар новый, без дефектов и царапин. Особенно заметно: приятно, надежно.",5,2026-04-19,1,позитивный,0,14,-0.20083877060179692,0.11004184383895828
